uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	highest_phase_with_known_outcome	genetic_insight	target_status
HRH1-D005128	0.262	3	HRH1-D005128	HRH1	D005128	Eye Diseases	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase II	0.25	2	2	gwas	unsupported target
HRH1-D005356	0.205	4	HRH1-D005356	HRH1	D005356	Fibromyalgia	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase III	0.25	2	2	gwas	unsupported target
HRH1-D006255	0.204	5	HRH1-D006255	HRH1	D006255	Rhinitis, Allergic, Seasonal	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2008	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Launched	0.25	2	3	gwas	unsupported target
HRH1-D006949	0.797	3	HRH1-D006949	HRH1	D006949	Hyperlipidemias	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233219	D052456	Hypoalphalipoproteinemias	OTG	NA	HDL cholesterol	https://genetics.opentargets.org/study/GCST002223	2013	NA	NA	0.612193221659525	0.11	2	Phase II	0.11	2	2	both	unsupported target
HRH1-D006967	0.24	5	HRH1-D006967	HRH1	D006967	Hypersensitivity	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2007	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Launched	0.25	2	3	gwas	unsupported target
HRH1-D007249	1	1	HRH1-D007249	HRH1	D007249	Inflammation	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	233205	D007249	Inflammation	OTG	NA	C-reactive protein levels	https://genetics.opentargets.org/study/GCST90025959	2021	NA	NA	0.610526998961578	0.18	2	Preclinical	0.18	2	0	gwas	genetically supported target
HRH1-D007319	0.391	5	HRH1-D007319	HRH1	D007319	Sleep Initiation and Maintenance Disorders	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2013	233221	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.817704280155642	0.21	2	Launched	0.21	2	3	both	unsupported target
HRH1-D008268	0.321	1	HRH1-D008268	HRH1	D008268	Macular Degeneration	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	233219	D052456	Hypoalphalipoproteinemias	OTG	NA	HDL cholesterol	https://genetics.opentargets.org/study/GCST002223	2013	NA	NA	0.612193221659525	0.11	2	Preclinical	0.11	2	NA	both	unsupported target
HRH1-D008269	0.3	2	HRH1-D008269	HRH1	D008269	Macular Edema	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	233219	D052456	Hypoalphalipoproteinemias	OTG	NA	HDL cholesterol	https://genetics.opentargets.org/study/GCST002223	2013	NA	NA	0.612193221659525	0.11	2	Phase I	0.11	2	0	both	unsupported target
HRH1-D008415	0.231	1	HRH1-D008415	HRH1	D008415	Mastocytosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Preclinical	0.25	2	0	both	unsupported target
HRH1-D008575	0.205	2	HRH1-D008575	HRH1	D008575	Meniere Disease	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase I	0.25	2	0	gwas	unsupported target
HRH1-D008659	0.458	1	HRH1-D008659	HRH1	D008659	Metabolic Diseases	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	233221	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.817704280155642	0.21	2	Preclinical	0.21	2	NA	both	unsupported target
HRH1-D008881	0.228	3	HRH1-D008881	HRH1	D008881	Migraine Disorders	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase II	0.25	2	2	both	unsupported target
HRH1-D009203	0.531	1	HRH1-D009203	HRH1	D009203	Myocardial Infarction	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Preclinical	0.25	2	0	gwas	unsupported target
HRH1-D009369	0.273	1	HRH1-D009369	HRH1	D009369	Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Preclinical	0.25	2	0	gwas	unsupported target
HRH1-D009765	0.789	3	HRH1-D009765	HRH1	D009765	Obesity	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233221	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.817704280155642	0.21	2	Phase II	0.21	2	2	both	unsupported target
HRH1-D010003	0.279	1	HRH1-D010003	HRH1	D010003	Osteoarthritis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Preclinical	0.25	2	0	both	unsupported target
HRH1-D010033	0.214	1	HRH1-D010033	HRH1	D010033	Otitis Media	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Preclinical	0.25	2	0	both	unsupported target
HRH1-D011595	0.378	3	HRH1-D011595	HRH1	D011595	Psychomotor Agitation	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	233221	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.817704280155642	0.21	2	Phase II	0.21	2	1	omim/tcga	unsupported target
HRH1-D011618	0.313	1	HRH1-D011618	HRH1	D011618	Psychotic Disorders	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	233206	D007839	Functional Laterality	OTG	NA	Medication use (agents acting on the renin-angiotensin system)	https://genetics.opentargets.org/study/GCST90018988	2021	NA	NA	0.619614733827932	0.26	2	Preclinical	0.26	2	NA	both	unsupported target
HRH1-D012120	0.233	3	HRH1-D012120	HRH1	D012120	Respiration Disorders	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase II	0.25	2	2	both	unsupported target
HRH1-D012220	0.217	3	HRH1-D012220	HRH1	D012220	Rhinitis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase II	0.25	2	2	gwas	unsupported target
HRH1-D012221	0.2	5	HRH1-D012221	HRH1	D012221	Rhinitis, Allergic, Perennial	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2015	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Launched	0.25	2	3	gwas	unsupported target
HRH1-D012559	0.32	5	HRH1-D012559	HRH1	D012559	Schizophrenia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2007	233206	D007839	Functional Laterality	OTG	NA	Medication use (agents acting on the renin-angiotensin system)	https://genetics.opentargets.org/study/GCST90018988	2021	NA	NA	0.619614733827932	0.26	2	Launched	0.26	2	3	both	unsupported target
HRH1-D012893	0.414	1	HRH1-D012893	HRH1	D012893	Sleep Wake Disorders	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	233221	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.817704280155642	0.21	2	Preclinical	0.21	2	NA	both	unsupported target
HRH1-D013313	0.308	4	HRH1-D013313	HRH1	D013313	Stress Disorders, Post-Traumatic	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	233206	D007839	Functional Laterality	OTG	NA	Medication use (agents acting on the renin-angiotensin system)	https://genetics.opentargets.org/study/GCST90018988	2021	NA	NA	0.619614733827932	0.26	2	Phase III	0.26	2	2	gwas	unsupported target
HRH1-D014549	0.617	3	HRH1-D014549	HRH1	D014549	Urinary Incontinence	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233218	D051436	Renal Insufficiency, Chronic	OTG	NA	Serum urea levels	https://genetics.opentargets.org/study/GCST90025991	2021	NA	NA	0.827380179244058	0.39	2	Phase II	0.39	2	2	gwas	unsupported target
HRH1-D014581	0.212	5	HRH1-D014581	HRH1	D014581	Urticaria	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2015	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Launched	0.25	2	3	both	unsupported target
HRH1-D014717	0.399	3	HRH1-D014717	HRH1	D014717	Vertigo	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	233221	D056128	Obesity, Abdominal	OTG	NA	Waist-hip ratio	https://genetics.opentargets.org/study/GCST007067	2018	NA	NA	0.817704280155642	0.21	2	Phase II	0.21	2	1	gwas	unsupported target
HRH1-D015352	0.21	3	HRH1-D015352	HRH1	D015352	Dry Eye Syndromes	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase II	0.25	2	2	both	unsupported target
HRH1-D020521	0.532	1	HRH1-D020521	HRH1	D020521	Stroke	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Preclinical	0.25	2	0	gwas	unsupported target
HRH1-D029424	0.223	3	HRH1-D029424	HRH1	D029424	Pulmonary Disease, Chronic Obstructive	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Phase II	0.25	2	2	both	unsupported target
HRH1-D053201	0.571	3	HRH1-D053201	HRH1	D053201	Urinary Bladder, Overactive	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	233218	D051436	Renal Insufficiency, Chronic	OTG	NA	Serum urea levels	https://genetics.opentargets.org/study/GCST90025991	2021	NA	NA	0.827380179244058	0.39	2	Phase II	0.39	2	2	gwas	unsupported target
HRH1-D054179	0.462	1	HRH1-D054179	HRH1	D054179	Angioedemas, Hereditary	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Preclinical	0.25	2	0	both	unsupported target
HRH1-D065631	0.211	5	HRH1-D065631	HRH1	D065631	Rhinitis, Allergic	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2019	233201	D006973	Hypertension	OTG	NA	Systolic blood pressure	https://genetics.opentargets.org/study/GCST006021	2016	NA	NA	0.612193221659525	0.25	2	Launched	0.25	2	3	both	unsupported target
HRH2-D000152	0	1	HRH2-D000152	HRH2	D000152	Acne Vulgaris	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
HRH2-D001932	0	3	HRH2-D001932	HRH2	D001932	Brain Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH2-D005909	0	3	HRH2-D005909	HRH2	D005909	Glioblastoma	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	unsupported target
HRH2-D006526	0	1	HRH2-D006526	HRH2	D006526	Hepatitis C	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
HRH2-D007319	0	5	HRH2-D007319	HRH2	D007319	Sleep Initiation and Maintenance Disorders	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
HRH2-D008103	0	1	HRH2-D008103	HRH2	D008103	Liver Cirrhosis	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
HRH2-D008527	0	3	HRH2-D008527	HRH2	D008527	Medulloblastoma	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	unsupported target
HRH2-D008881	0	3	HRH2-D008881	HRH2	D008881	Migraine Disorders	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH2-D009369	0	3	HRH2-D009369	HRH2	D009369	Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	unsupported target
HRH2-D010190	0	3	HRH2-D010190	HRH2	D010190	Pancreatic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	unsupported target
HRH2-D011471	0	3	HRH2-D011471	HRH2	D011471	Prostatic Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH2-D013276	0	1	HRH2-D013276	HRH2	D013276	Stomach Ulcer	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
HRH2-D065626	0	1	HRH2-D065626	HRH2	D065626	Non-alcoholic Fatty Liver Disease	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
HRH3-D000437	0	3	HRH3-D000437	HRH3	D000437	Alcoholism	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	1	gwas	unsupported target
HRH3-D000544	0	2	HRH3-D000544	HRH3	D000544	Alzheimer Disease	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	0	both	unsupported target
HRH3-D001008	0	1	HRH3-D001008	HRH3	D001008	Anxiety Disorders	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
HRH3-D001049	0	5	HRH3-D001049	HRH3	D001049	Apnea	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
HRH3-D001068	0	1	HRH3-D001068	HRH3	D001068	Feeding and Eating Disorders	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
HRH3-D001289	0	3	HRH3-D001289	HRH3	D001289	Attention Deficit Disorder with Hyperactivity	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH3-D001650	0	1	HRH3-D001650	HRH3	D001650	Bile Duct Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
HRH3-D002385	0	5	HRH3-D002385	HRH3	D002385	Cataplexy	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
HRH3-D003072	0	2	HRH3-D003072	HRH3	D003072	Cognition Disorders	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	1	both	unsupported target
HRH3-D003704	0	2	HRH3-D003704	HRH3	D003704	Dementia	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	0	both	unsupported target
HRH3-D003863	0	1	HRH3-D003863	HRH3	D003863	Depression	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
HRH3-D003876	0	1	HRH3-D003876	HRH3	D003876	Dermatitis, Atopic	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	gwas	unsupported target
HRH3-D003924	0	3	HRH3-D003924	HRH3	D003924	Diabetes Mellitus, Type 2	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH3-D003929	0	3	HRH3-D003929	HRH3	D003929	Diabetic Neuropathies	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH3-D004827	0	4	HRH3-D004827	HRH3	D004827	Epilepsy	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	3	both	unsupported target
HRH3-D005879	0	3	HRH3-D005879	HRH3	D005879	Tourette Syndrome	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	omim/tcga	unsupported target
HRH3-D006255	0	3	HRH3-D006255	HRH3	D006255	Rhinitis, Allergic, Seasonal	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	gwas	unsupported target
HRH3-D006949	0	3	HRH3-D006949	HRH3	D006949	Hyperlipidemias	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH3-D007319	0	1	HRH3-D007319	HRH3	D007319	Sleep Initiation and Maintenance Disorders	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
HRH3-D008575	0	2	HRH3-D008575	HRH3	D008575	Meniere Disease	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	0	gwas	unsupported target
HRH3-D008659	0	1	HRH3-D008659	HRH3	D008659	Metabolic Diseases	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	unsupported target
HRH3-D009223	0	3	HRH3-D009223	HRH3	D009223	Myotonic Dystrophy	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
HRH3-D009290	0	5	HRH3-D009290	HRH3	D009290	Narcolepsy	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Launched	NA	NA	3	both	unsupported target
HRH3-D009437	0	3	HRH3-D009437	HRH3	D009437	Neuralgia	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH3-D009765	0	1	HRH3-D009765	HRH3	D009765	Obesity	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	unsupported target
HRH3-D010033	0	1	HRH3-D010033	HRH3	D010033	Otitis Media	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
HRH3-D010300	0	1	HRH3-D010300	HRH3	D010300	Parkinson Disease	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
HRH3-D011618	0	1	HRH3-D011618	HRH3	D011618	Psychotic Disorders	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
HRH3-D012559	0	2	HRH3-D012559	HRH3	D012559	Schizophrenia	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase I	NA	NA	0	both	unsupported target
HRH3-D012893	0	1	HRH3-D012893	HRH3	D012893	Sleep Wake Disorders	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	NA	both	unsupported target
HRH3-D014717	0	3	HRH3-D014717	HRH3	D014717	Vertigo	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	1	gwas	unsupported target
HRH3-D020177	0	4	HRH3-D020177	HRH3	D020177	Idiopathic Hypersomnia	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	2	both	unsupported target
HRH3-D020178	0	3	HRH3-D020178	HRH3	D020178	Sleep Disorders, Circadian Rhythm	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
HRH3-D020920	0	4	HRH3-D020920	HRH3	D020920	Dyssomnias	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase III	NA	NA	3	both	unsupported target
HRH3-D065631	0	3	HRH3-D065631	HRH3	D065631	Rhinitis, Allergic	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	2	both	unsupported target
